staircase.thisTrialN,staircase.stepSize,staircase.intensity,CorrAns,tilt,key_resp.corr,staircase.response,,Absolute Threshold,,,,tilt_revised
0,2,10,right,10,1,1,,Reversals:,,,,10
1,2,8,left,-8,1,1,,2,,,,8
2,2,6,left,-6,1,1,,2,,,,6
3,2,4,left,-4,1,1,,1.5,,,,4
4,2,2,left,-2,1,1,,1.5,,,,2
5,1,1,left,-1,0,0,,Absolute Threshold:,1.75,,,1
6,1,2,left,-2,1,1,,,,,,2
7,1,2,left,-2,1,1,,Accuracy,,,,2
8,1,2,right,2,1,1,,No. of Accurate Trials,83,,,2
9,0.5,1,right,1,0,0,,Total Trials,100,,,1
10,0.5,1.5,right,1.5,1,1,,Accuracy,83%,,,1.5
11,0.5,1.5,left,-1.5,1,1,,,,,,1.5
12,0.5,1.5,right,1.5,1,1,,,,,,1.5
13,0.5,1,right,1,1,1,,,,,,1
14,0.5,1,left,-1,1,1,,,,,,1
15,0.5,1,left,-1,1,1,,,,,,1
16,0.5,1,left,-1,1,1,,,,,,1
17,0.5,1,left,-1,0,0,,,,,,1
18,0.5,1.5,left,-1.5,1,1,,,,,,1.5
19,0.5,1.5,right,1.5,1,1,,,,,,1.5
20,0.5,1.5,left,-1.5,1,1,,,,,,1.5
21,0.5,1,right,1,0,0,,,,,,1
22,0.5,1.5,right,1.5,1,1,,,,,,1.5
23,0.5,1.5,left,-1.5,1,1,,,,,,1.5
24,0.5,1.5,left,-1.5,1,1,,,,,,1.5
25,0.5,1,right,1,1,1,,,,,,1
26,0.5,1,left,-1,1,1,,,,,,1
27,0.5,1,right,1,1,1,,,,,,1
28,0.5,1,left,-1,1,1,,,,,,1
29,0.5,1,left,-1,1,1,,,,,,1
30,0.5,1,left,-1,1,1,,,,,,1
31,0.5,1,left,-1,1,1,,,,,,1
32,0.5,1,left,-1,0,0,,,,,,1
33,0.5,1.5,left,-1.5,1,1,,,,,,1.5
34,0.5,1.5,left,-1.5,0,0,,,,,,1.5
35,0.5,2,left,-2,1,1,,,,,,2
36,0.5,2,right,2,1,1,,,,,,2
37,0.5,2,right,2,1,1,,,,,,2
38,0.5,1.5,left,-1.5,1,1,,,,,,1.5
39,0.5,1.5,left,-1.5,1,1,,,,,,1.5
40,0.5,1.5,right,1.5,1,1,,,,,,1.5
41,0.5,1,right,1,1,1,,,,,,1
42,0.5,1,right,1,1,1,,,,,,1
43,0.5,1,right,1,1,1,,,,,,1
44,0.5,1,right,1,1,1,,,,,,1
45,0.5,1,left,-1,1,1,,,,,,1
46,0.5,1,right,1,0,0,,,,,,1
47,0.5,1.5,right,1.5,1,1,,,,,,1.5
48,0.5,1.5,right,1.5,1,1,,,,,,1.5
49,0.5,1.5,left,-1.5,0,0,,,,,,1.5
50,0.5,2,left,-2,1,1,,,,,,2
51,0.5,2,left,-2,1,1,,,,,,2
52,0.5,2,left,-2,1,1,,,,,,2
53,0.5,1.5,right,1.5,1,1,,,,,,1.5
54,0.5,1.5,left,-1.5,1,1,,,,,,1.5
55,0.5,1.5,left,-1.5,1,1,,,,,,1.5
56,0.5,1,right,1,1,1,,,,,,1
57,0.5,1,right,1,1,1,,,,,,1
58,0.5,1,left,-1,1,1,,,,,,1
59,0.5,1,right,1,1,1,,,,,,1
60,0.5,1,left,-1,1,1,,,,,,1
61,0.5,1,right,1,0,0,,,,,,1
62,0.5,1.5,left,-1.5,1,1,,,,,,1.5
63,0.5,1.5,right,1.5,1,1,,,,,,1.5
64,0.5,1.5,left,-1.5,1,1,,,,,,1.5
65,0.5,1,right,1,1,1,,,,,,1
66,0.5,1,left,-1,1,1,,,,,,1
67,0.5,1,right,1,1,1,,,,,,1
68,0.5,1,left,-1,1,1,,,,,,1
69,0.5,1,right,1,1,1,,,,,,1
70,0.5,1,right,1,0,0,,,,,,1
71,0.5,1.5,left,-1.5,1,1,,,,,,1.5
72,0.5,1.5,left,-1.5,1,1,,,,,,1.5
73,0.5,1.5,right,1.5,1,1,,,,,,1.5
74,0.5,1,right,1,1,1,,,,,,1
75,0.5,1,left,-1,1,1,,,,,,1
76,0.5,1,right,1,1,1,,,,,,1
77,0.5,1,right,1,1,1,,,,,,1
78,0.5,1,right,1,1,1,,,,,,1
79,0.5,1,left,-1,0,0,,,,,,1
80,0.5,1.5,left,-1.5,1,1,,,,,,1.5
81,0.5,1.5,right,1.5,1,1,,,,,,1.5
82,0.5,1.5,right,1.5,1,1,,,,,,1.5
83,0.5,1,right,1,0,0,,,,,,1
84,0.5,1.5,right,1.5,1,1,,,,,,1.5
85,0.5,1.5,right,1.5,0,0,,,,,,1.5
86,0.5,2,left,-2,1,1,,,,,,2
87,0.5,2,left,-2,1,1,,,,,,2
88,0.5,2,right,2,0,0,,,,,,2
89,0.5,2.5,left,-2.5,1,1,,,,,,2.5
90,0.5,2.5,right,2.5,0,0,,,,,,2.5
91,0.5,3,right,3,0,0,,,,,,3
92,0.5,3.5,right,3.5,0,0,,,,,,3.5
93,0.5,4,left,-4,1,1,,,,,,4
94,0.5,4,left,-4,1,1,,,,,,4
95,0.5,4,left,-4,1,1,,,,,,4
96,0.5,3.5,right,3.5,1,1,,,,,,3.5
97,0.5,3.5,left,-3.5,1,1,,,,,,3.5
98,0.5,3.5,left,-3.5,1,1,,,,,,3.5
99,0.5,3,right,3,1,1,,,,,,3
